mu_B [MeV],Energy Density [MeV/fm^3],Pressure [MeV/fm^3]
1490,389.2071501414031,168.9630263264239
1491,389.75754349833375,169.42630016780723
1492,390.30823629590486,169.89004680581428
1493,390.8592290311657,170.35426614337467
1494,391.41052219876855,170.8189580839547
1495,391.9621162909849,171.2841225315531
1496,392.51401179771983,171.74975939069813
1497,393.0662092065286,172.21586856644404
1498,393.6187090026311,172.68244996436803
1499,394.1715116689282,173.14950349056718
1500,394.7246176860161,173.61702905165518
1501,395.2780275322014,174.08502655475914
1502,395.83174168351627,174.5534959075166
1503,396.38576061373266,175.02243701807197
1504,396.9400847943776,175.49184979507422
1505,397.49471469474713,175.96173414767298
1506,398.0496507819214,176.43208998551643
1507,398.6048935207781,176.9029172187474
1508,399.16044337400706,177.3742157580009
1509,399.71630080212486,177.84598551440115
1510,400.27246626348744,178.3182263995584
1511,400.8289402143051,178.7909383255661
1512,401.38572310865567,179.26412120499808
1513,401.9428153984983,179.73777495090567
1514,402.5002175336868,180.21189947681475
1515,403.0579299619832,180.6864946967229
1516,403.6159531290709,181.1615605250966
1517,404.17428747856775,181.63709687686878
1518,404.73293345203973,182.11310366743524
1519,405.2918914890129,182.58958081265277
1520,405.85116202698686,183.06652822883586
1521,406.4107455014478,183.54394583275422
1522,406.9706423458806,184.02183354162997
1523,407.5308529917817,184.50019127313496
1524,408.0913778686716,184.97901894538828
1525,408.652217404107,185.4583164769534
1526,409.2133720236936,185.9380837868357
1527,409.77484215109774,186.41832079447968
1528,410.336628208059,186.89902741976675
1529,410.89873061440176,187.38020358301196
1530,411.4611497880474,187.8618492049623
1531,412.02388614502667,188.34396420679377
1532,412.58694009949005,188.8265485101087
1533,413.15031206372043,189.3096020369333
1534,413.7140024481446,189.79312470971587
1535,414.27801166134407,190.27711645132328
1536,414.8423401100668,190.7615771850392
1537,415.40698819923847,191.24650683456144
1538,415.97195633197407,191.7319053239998
1539,416.53724490958643,192.21777257787375
1540,417.1028543316016,192.70410852110922
1541,417.66878499576626,193.1909130790374
1542,418.23503729805964,193.6781861773915
1543,418.8016116327043,194.16592774230492
1544,419.36850839217703,194.65413770030884
1545,419.9357279672193,195.14281597832988
1546,420.503270746847,195.6319625036877
1547,421.0711371183628,196.12157720409323
1548,421.63932746736407,196.61166000764536
1549,422.2078421777556,197.10221084283032
1550,422.77668163175787,197.5932296385181
1551,423.3458462099183,198.08471632396058
1552,423.91533629112104,198.5766708287899
1553,424.48515225259644,199.06909308301525
1554,425.0552944699323,199.56198301702236
1555,425.6257633170818,200.05534056156912
1556,426.19655916637504,200.5491656477859
1557,426.7676823885276,201.04345820717126
1558,427.33913335265055,201.5382181715916
1559,427.9109124262599,202.0334454732777
1560,428.48301997528614,202.5291400448237
1561,429.0554563640838,203.0253018191843
1562,429.62822195544015,203.5219307296734
1563,430.201317110585,204.01902670996145
1564,430.7747421892003,204.51658969407376
1565,431.34849754942786,205.01461961638844
1566,431.9225835478799,205.51311641163466
1567,432.4970005396471,206.01208001489022
1568,433.0717488783079,206.51151036157987
1569,433.6468289159372,207.01140738747318
1570,434.22224100311547,207.51177102868326
1571,434.7979854889372,208.01260122166397
1572,435.374062721019,208.51389790320843
1573,435.95047304550957,209.015661010447
1574,436.5272168070972,209.5178904808458
1575,437.1042943490183,210.02058625220428
1576,437.68170601306616,210.5237482626536
1577,438.2594521395993,211.02737645065508
1578,438.8375330675496,211.53147075499794
1579,439.4159491344301,212.03603111479768
1580,439.9947006763442,212.5410574694944
1581,440.573788027993,213.04654975885032
1582,441.1532115226835,213.5525079229493
1583,441.7329714923366,214.05893190219373
1584,442.3130682674954,214.56582163730369
1585,442.8935021773323,215.07317706931474
1586,443.47427354965777,215.58099813957614
1587,444.0553827109274,216.08928478974974
1588,444.6368299862498,216.59803696180745
1589,445.2186156993947,217.10725459802998
1590,445.8007401728,217.61693764100553
1591,446.38320372757926,218.12708603362725
1592,446.9660066835298,218.637699719092
1593,447.5491493591395,219.14877864089854
1594,448.1326320715948,219.66032274284666
1595,448.7164551367874,220.17233196903436
1596,449.3006188693223,220.68480626385733
1597,449.8851235825243,221.19774557200623
1598,450.46996958844534,221.71114983846596
1599,451.05515719787223,222.22501900851373
1600,451.6406867203331,222.73935302771775
